gugun,dong,population,movein,moveout,oneperson,twoperson,threeperson,fourperson,fiveperson,sixperson,sevenperson,eightperson,nineperson,tenperson
동작구,사당3동,25244,3894,4665,3612,2451,2149,1775,384,87,32,10,2,1
동작구,사당4동,14599,2503,2833,3372,1610,1084,810,179,30,10,4,2,-
동작구,사당5동,14811,4271,2390,2558,1588,1261,952,198,34,9,-,1,2
동작구,대방동,39172,5801,6722,7240,3347,2881,2905,646,120,35,5,3,3
동작구,신대방1동,25823,3390,3675,4019,2074,1743,1829,412,88,18,6,2,-
동작구,신대방2동,20466,3718,3979,4437,1764,1444,1318,341,75,20,6,-,-
동작구,흑석동,34544,4289,4697,5376,3078,2716,2244,471,99,22,6,-,-
동작구,노량진1동,32387,5875,6044,7669,3280,2389,1876,450,85,22,6,1,1
동작구,사당2동,27658,4045,4678,4350,3011,2368,1680,414,96,15,4,5,-
동작구,사당2동,27658,4045,4678,4350,3011,2368,1680,414,96,15,4,5,-
관악구,보라매동,25278,3924,4471,6408,2762,1742,1281,303,63,14,1,4,1
관악구,청림동,15711,2117,2709,2037,1688,1406,1050,215,51,9,6,-,1
관악구,행운동,29799,6732,6978,10995,2967,1710,1237,297,82,10,4,-,-
관악구,낙성대동,17579,5094,4968,7916,1542,805,600,154,38,6,3,-,2
관악구,중앙동,15758,3768,3836,6574,1567,781,576,126,23,6,1,1,1
관악구,인헌동,26500,4792,5353,8068,2724,1718,1302,312,55,24,3,-,1
관악구,남현동,18598,3875,4292,5037,1950,1301,918,218,54,15,5,1,3
관악구,서원동,23565,5748,6086,9207,2561,1289,773,195,51,9,2,-,-
관악구,신원동,19290,3840,4028,6756,2079,1107,697,149,42,5,1,3,1
관악구,서림동,24410,5697,5551,9681,2329,1275,922,233,49,19,3,1,2
관악구,신사동,25426,5116,5204,8872,2315,1329,950,193,40,10,4,-,-
관악구,신림동,22667,7469,7273,14472,1860,598,317,83,15,4,1,-,1
관악구,난향동,15915,1703,2155,1904,1570,1265,1166,290,63,22,3,1,2
관악구,조원동,19232,3915,3906,6932,1843,945,697,171,26,13,1,1,-
관악구,대학동,24907,6280,6120,12262,1893,1126,739,188,42,7,2,-,-
관악구,은천동,34595,5221,5887,7238,3557,2478,2107,498,117,25,8,1,1
관악구,성현동,30472,3517,4198,4084,2974,2471,2268,504,91,22,7,4,1
관악구,청룡동,36325,10457,8420,15980,3164,1789,1336,329,61,16,6,-,1
관악구,난곡동,28054,3124,3875,5605,3266,2154,1552,365,80,19,5,1,1
관악구,삼성동,23935,2112,3276,4594,2682,1797,1340,349,72,21,2,-,3
관악구,미성동,31787,3800,4640,5874,3330,2427,1973,502,95,29,5,-,1
관악구,미성동,31787,3800,4640,5874,3330,2427,1973,502,95,29,5,-,1
서초구,서초1동,21187,3845,4244,3960,1812,1578,1419,378,111,25,7,-,2
서초구,서초2동,21731,6649,3718,4176,1863,1698,1664,350,77,18,7,3,1
서초구,서초3동,32307,7197,5866,6493,2969,2406,2133,520,145,45,12,4,3
서초구,서초4동,31718,4019,4280,2332,1928,2646,3234,608,123,37,13,3,1
서초구,잠원동,28532,3949,10560,3801,1983,2375,2403,475,103,26,12,2,2
서초구,반포본동,11991,1921,2111,691,879,932,1175,222,48,10,2,3,1
서초구,반포1동,32630,5336,5982,6358,2210,2335,2564,589,124,24,15,7,1
서초구,반포2동,16240,1868,2045,629,880,1291,1700,426,79,18,5,4,2
서초구,반포3동,22412,5072,3133,1374,1561,2100,2153,431,78,30,9,3,1
서초구,반포4동,19977,2914,3223,1797,1545,1756,1548,399,102,21,8,4,1
서초구,방배본동,21293,2977,3282,2271,1587,1734,1805,433,110,29,7,3,3
서초구,방배1동,17381,3187,3343,2933,1759,1359,1154,265,62,19,5,2,3
서초구,방배2동,20404,3260,3815,3044,2189,1546,1383,306,69,24,7,1,5
서초구,방배3동,21441,2773,3777,2230,1887,1816,1628,350,84,30,5,3,3
서초구,방배4동,24036,3984,4044,3416,2066,1801,1884,443,112,24,10,-,1
서초구,양재1동,44890,5813,6921,6141,4087,3407,3102,973,238,69,17,1,2
서초구,양재2동,22709,3958,4429,5153,2270,1570,1326,355,87,18,11,2,1
서초구,내곡동,18146,2528,2896,2222,1894,1532,1213,330,88,16,11,2,2
서초구,내곡동,18146,2528,2896,2222,1894,1532,1213,330,88,16,11,2,2
강남구,신사동,16914,2409,2951,2824,1575,1263,1151,258,81,21,6,4,1
강남구,논현1동,23734,5719,5854,9623,2416,1170,756,220,63,23,5,1,3
강남구,논현2동,21997,4897,4806,6445,2140,1532,1144,235,66,16,6,-,-
강남구,삼성1동,13600,2498,3804,2074,1188,995,955,259,68,20,7,2,1
강남구,삼성2동,30368,5500,5874,5744,2316,2274,2324,467,102,38,7,2,2
강남구,대치1동,24922,3282,3642,588,984,1955,3016,621,113,25,6,6,1
강남구,대치4동,20744,5172,5247,5473,1680,1337,1296,286,78,17,3,2,-
강남구,역삼1동,36771,10921,11099,17310,3471,1600,1078,279,77,26,5,6,1
강남구,역삼2동,37291,7124,7104,6481,2321,2797,3186,570,117,28,11,6,3
강남구,도곡1동,22227,3325,3731,2709,1636,1849,1941,365,90,17,10,5,1
강남구,도곡2동,34042,4495,4931,2200,2407,3001,3321,674,135,30,7,1,2
강남구,개포1동,6670,713,935,776,615,504,533,121,30,10,3,1,-
강남구,개포4동,22765,7244,2950,3419,2174,1993,1835,387,65,23,5,3,2
강남구,일원본동,23945,2676,3162,1471,1620,2012,2455,435,82,18,5,1,1
강남구,일원1동,15827,2023,2580,3309,1783,1186,867,241,50,8,3,-,-
강남구,일원2동,17709,2265,2732,2357,1852,1589,1370,260,42,6,2,-,1
강남구,수서동,15299,1840,2402,3527,2333,1111,605,162,31,5,9,-,-
강남구,세곡동,44475,5661,6291,6069,4009,3242,3247,1032,239,61,11,7,-
강남구,압구정동,27440,3771,4094,2894,2432,2372,2129,479,138,28,6,4,1
강남구,청담동,27266,4519,7359,4610,2379,2160,1877,459,108,38,11,6,3
강남구,대치2동,37752,5975,6857,2606,2320,3128,3851,735,127,26,8,4,-
강남구,개포2동,22297,3296,3177,1620,1855,2075,2044,354,78,15,3,1,-
강남구,개포2동,22297,3296,3177,1620,1855,2075,2044,354,78,15,3,1,-
송파구,풍납1동,14585,1583,2379,2454,1578,1063,873,172,44,11,4,-,-
송파구,풍납2동,25703,4544,4178,4252,2358,2205,1797,366,95,21,5,-,-
송파구,거여1동,13077,2040,2170,2061,1418,1027,866,198,37,14,1,1,-
송파구,거여2동,19330,4954,2568,2722,2152,1634,1285,274,60,10,3,1,2
송파구,마천1동,19909,2411,3144,3613,2134,1531,1146,345,75,11,3,-,-
송파구,마천2동,19719,2517,2936,3430,2202,1569,1150,292,72,12,5,1,2
송파구,방이1동,16298,2419,2640,1922,1255,1306,1388,291,83,14,3,3,-
송파구,방이2동,26675,6370,5772,8570,2807,1745,1212,262,70,12,2,1,1
송파구,오륜동,18495,1930,2288,683,1195,1596,1976,399,55,25,7,-,2
송파구,오금동,39668,5389,6795,4539,3762,3470,2985,664,177,28,3,3,1
송파구,송파1동,25190,4653,5515,6134,2679,1808,1317,326,84,17,5,1,2
송파구,송파2동,20800,3027,3091,1767,1606,1754,1749,389,71,13,8,1,-
송파구,석촌동,33166,5792,6943,8870,3631,2279,1675,341,90,15,5,4,-
송파구,삼전동,31839,5583,6397,8487,3414,2232,1618,382,74,22,5,2,1
송파구,가락본동,27368,4416,4960,4765,2618,2229,1791,450,85,27,2,1,1
송파구,가락1동,27876,3053,3138,1663,2479,2562,2488,458,95,18,4,2,3
송파구,가락2동,33204,4494,5243,3121,2624,2949,2968,544,123,26,5,2,-
송파구,문정1동,20868,3613,4068,2878,1957,1658,1583,364,63,10,8,1,3
송파구,문정2동,29547,6542,7056,8783,2784,1915,1649,335,97,25,8,-,2
송파구,잠실본동,29093,5519,6041,8571,2967,2012,1394,306,74,16,7,1,1
송파구,잠실4동,21798,2728,3246,1121,1491,2027,2116,417,77,17,7,3,-
송파구,잠실6동,17366,2336,2430,963,1406,1561,1502,364,76,24,3,3,2
송파구,잠실7동,9903,994,1266,523,905,869,870,191,46,9,3,1,-
송파구,잠실2동,36216,4554,5260,1705,1923,3109,4084,678,135,15,7,-,1
송파구,잠실3동,35497,4717,5312,1818,2709,3240,3405,632,120,32,9,3,2
송파구,장지동,30370,4130,6829,3526,2979,2711,2193,511,118,15,5,1,1
송파구,위례동,30366,6620,4792,1368,1972,2614,3264,913,161,29,3,1,1
송파구,위례동,30366,6620,4792,1368,1972,2614,3264,913,161,29,3,1,1
강동구,강일동,35778,7676,4004,3649,3955,3302,3127,1035,193,39,2,4,1
강동구,상일동,33345,25734,3373,2181,2868,3366,3774,738,122,25,9,3,4
강동구,명일1동,26377,4134,4622,2498,2505,2420,2128,420,74,16,10,-,2
강동구,명일2동,17555,3042,3258,1404,1196,1373,1786,351,61,25,10,1,1
강동구,고덕1동,26103,3542,4617,1582,1576,2266,2631,481,101,19,11,-,1
강동구,고덕2동,22568,6347,3245,2274,2152,2043,1895,329,56,21,3,1,2
강동구,암사2동,15507,3532,2924,1905,1578,1422,1136,231,37,8,-,2,2
강동구,암사3동,18420,2627,2933,1096,1426,1605,1669,382,76,21,10,3,4
강동구,천호1동,27745,4491,5051,5428,3162,2226,1555,362,84,13,5,-,2
강동구,천호3동,27085,5260,6161,7270,3016,1952,1303,295,72,17,4,-,-
강동구,성내1동,20353,3162,3419,2548,2019,1828,1496,313,67,22,2,-,-
강동구,성내2동,24948,4624,4734,6834,2814,1831,1079,253,51,19,9,-,1
강동구,성내3동,23692,3930,4174,4254,2536,1859,1567,333,63,13,6,-,1
강동구,둔촌1동,262,2,23,56,8,8,7,2,-,-,-,-,-
강동구,둔촌2동,26413,3622,4996,3587,2552,2137,1928,356,72,12,3,-,1
강동구,암사1동,35728,5121,6078,6373,3749,2906,2326,451,91,25,9,2,-
강동구,천호2동,35251,6033,6597,8690,4066,2522,1714,368,88,23,6,2,1
강동구,길동,46868,8558,8062,9324,4901,3732,2800,665,149,43,8,6,-
