gugun,dong,population,movein,moveout,oneperson,twoperson,threeperson,fourperson,fiveperson,sixperson,sevenperson,eightperson,nineperson,tenperson
광진구,광장동,35619,4388,4887,2256,2031,3064,3787,661,154,28,5,3,3
광진구,자양1동,23710,4032,4294,6176,2500,1602,1213,273,51,6,3,1,1
광진구,자양2동,26016,3329,4162,4126,2631,2107,1774,367,79,23,3,1,-
광진구,자양3동,28957,3681,4242,3067,2571,2464,2465,436,95,29,11,2,1
광진구,자양4동,21526,2412,3022,5030,2032,1245,841,197,39,15,-,-,1
광진구,자양4동,21526,2412,3022,5030,2032,1245,841,197,39,15,-,-,1
동대문구,회기동,12663,2513,2339,4188,934,562,467,117,25,4,3,-,-
동대문구,휘경1동,15362,3557,4485,4106,1292,918,743,191,36,10,-,-,1
동대문구,휘경2동,24992,4171,4198,5872,2190,1785,1537,347,76,18,4,-,1
동대문구,청량리동,20432,2393,3555,4745,2251,1414,1005,254,66,7,4,-,-
동대문구,용신동,32602,6355,5712,11511,3259,1887,1310,302,67,20,3,-,-
동대문구,제기동,27017,4098,3939,7193,2681,1652,1219,325,83,16,5,2,1
동대문구,전농1동,30722,4521,4836,7322,3088,2282,1644,396,64,22,6,2,3
동대문구,전농2동,19449,2331,2618,2269,1923,1650,1396,342,79,10,5,-,1
동대문구,답십리2동,29486,3491,4489,4586,3251,2422,1887,424,100,21,8,1,-
동대문구,장안1동,39287,5867,5687,8055,4055,3093,2302,582,101,30,5,3,-
동대문구,장안2동,33339,4700,4439,4912,3149,2816,2389,487,126,31,6,2,1
동대문구,이문1동,21205,3627,3942,6271,1731,1073,894,199,58,12,4,2,1
동대문구,이문2동,20947,2492,2704,3128,2028,1616,1438,354,70,24,3,3,1
동대문구,답십리1동,29511,4792,5192,5186,2746,2502,1917,478,93,23,9,1,1
동대문구,답십리1동,29511,4792,5192,5186,2746,2502,1917,478,93,23,9,1,1
중랑구,면목2동,25214,3237,3914,5889,2799,1877,1386,318,56,12,4,-,-
중랑구,면목4동,19270,2454,3227,3892,2187,1599,1100,263,53,17,-,1,-
중랑구,면목5동,14661,6496,1681,2183,1624,1337,987,199,29,6,-,-,-
중랑구,면목7동,22714,4176,3665,4629,2629,1768,1271,269,64,13,6,-,-
중랑구,상봉1동,24912,3063,3634,3379,2520,2182,1857,326,81,15,2,1,-
중랑구,상봉2동,20214,4563,4204,7255,2420,1328,731,157,36,11,4,-,-
중랑구,중화1동,20400,2956,3475,3508,2324,1705,1229,287,45,20,1,2,-
중랑구,중화2동,26073,3693,4768,7279,3151,1814,1133,253,53,11,3,2,1
중랑구,묵1동,35588,4678,5109,5245,3498,2919,2492,597,133,33,7,4,-
중랑구,묵2동,19672,2821,3048,4176,2272,1555,1049,265,53,7,1,3,1
중랑구,망우3동,17508,2264,2665,3869,2043,1350,910,198,46,6,1,2,-
