gugun,dong,oneperson,twoperson,threeperson,fourperson,fiveperson,sixperson,sevenperson,eightperson,nineperson,tenperson
도봉구,쌍문1동,3301,2447,1868,1349,367,73,18,7,1,1
도봉구,쌍문2동,3174,2278,1579,1148,292,47,10,2,-,3
도봉구,쌍문3동,3302,1956,1403,956,232,39,11,2,-,-
도봉구,쌍문4동,1604,1740,1693,1698,317,48,12,2,-,-
도봉구,방학1동,4764,3102,2303,1884,495,99,21,6,2,2
도봉구,방학2동,3857,2421,1619,1105,299,56,15,2,2,-
도봉구,방학3동,1875,2596,2492,2331,546,123,21,8,4,1
도봉구,창1동,3829,2688,2151,1776,331,73,18,4,-,-
도봉구,창2동,3999,3247,2623,1973,444,100,30,7,5,-
도봉구,창3동,2631,1704,1163,812,209,30,17,3,1,-
도봉구,창4동,3098,2532,2359,2220,425,87,15,10,1,-
도봉구,창5동,3093,2527,2235,1854,393,84,20,5,3,-
도봉구,도봉1동,4345,2798,1735,1063,275,60,20,4,2,1
도봉구,도봉2동,4121,3184,2403,1707,418,92,26,3,3,-
도봉구,도봉2동,4121,3184,2403,1707,418,92,26,3,3,-
노원구,월계1동,4522,2249,1669,1430,359,55,11,3,-,-
노원구,월계2동,4206,3185,2349,1767,375,80,14,4,1,1
노원구,월계3동,4102,3572,2772,1935,439,94,16,6,3,1
노원구,공릉2동,5865,3308,3181,3250,660,110,28,10,5,1
노원구,하계1동,4281,2437,2099,2204,422,87,17,8,1,4
노원구,하계2동,1801,1886,1966,2134,400,50,11,2,2,-
노원구,중계본동,1934,1421,1878,2608,586,102,18,4,2,1
노원구,중계1동,1405,1434,2353,3192,503,53,14,9,2,-
노원구,중계4동,2699,1999,1659,1622,342,62,17,5,4,1
노원구,상계1동,4629,3878,3283,2916,700,138,31,8,1,4
노원구,상계2동,3325,1751,1630,1608,307,80,14,3,2,-
노원구,상계5동,4082,2742,2065,1536,367,77,16,5,1,1
노원구,상계8동,2493,2368,2203,1754,313,35,9,2,1,2
노원구,상계9동,2253,2255,1956,1616,274,44,14,1,3,-
노원구,상계10동,2036,2049,1705,1459,226,44,12,3,1,-
노원구,상계3.4동,4782,3063,2130,1662,429,82,23,10,2,-
노원구,상계6.7동,4423,3476,2934,2525,433,67,20,5,-,2
노원구,중계2.3동,5225,4114,2988,2427,448,69,13,2,1,1
노원구,공릉1동,8631,3819,2799,2323,491,115,20,4,3,1
노원구,공릉1동,8631,3819,2799,2323,491,115,20,4,3,1
은평구,녹번동,7273,4332,3121,2143,491,98,19,9,1,1
은평구,불광1동,6759,4487,3355,2395,561,115,27,11,2,-
은평구,갈현1동,4847,2700,1836,1279,289,55,16,3,1,-
은평구,갈현2동,4636,3168,2439,1846,436,88,17,7,5,1
은평구,구산동,4368,3281,2695,2129,550,111,32,6,1,5
은평구,대조동,7603,3134,1943,1342,284,85,17,5,1,2
은평구,응암1동,5651,3362,2477,1964,441,84,14,4,4,7
은평구,응암2동,3175,2648,2579,2086,428,96,25,9,3,3
은평구,신사1동,4023,3049,2379,1784,417,105,19,5,3,-
은평구,신사2동,3228,2209,1725,1404,301,79,19,4,-,1
은평구,증산동,2568,1747,1197,953,263,44,12,2,-,-
은평구,수색동,1590,1251,940,750,192,49,8,1,-,-
은평구,진관동,6369,4397,4233,4758,1395,336,56,15,3,4
은평구,불광2동,6442,3409,2236,1430,361,77,19,8,1,-
은평구,응암3동,6058,2980,1888,1266,308,68,17,9,-,1
은평구,역촌동,7920,5176,3872,2883,673,161,41,10,1,-
은평구,역촌동,7920,5176,3872,2883,673,161,41,10,1,-
서대문구,천연동,3086,1803,1458,1156,241,45,13,3,1,2
서대문구,홍제1동,3697,2493,2026,1645,394,75,20,6,1,1
서대문구,홍제3동,2764,1738,1311,947,242,50,9,4,-,1
서대문구,홍제2동,1824,1462,1263,1004,225,38,9,3,-,1
서대문구,홍은1동,3215,2394,1912,1614,384,91,20,7,-,1
서대문구,홍은2동,5008,2898,2160,1665,379,106,32,8,1,-
서대문구,남가좌1동,1294,1218,1467,1373,298,64,16,2,1,-
서대문구,남가좌2동,5065,2979,2472,2093,430,96,19,2,2,-
서대문구,북가좌1동,1632,1736,1579,1525,352,79,15,4,2,-
서대문구,북가좌2동,5782,3646,2620,2045,485,96,23,3,-,1
서대문구,충현동,5164,2023,1448,1238,307,69,15,1,2,1
서대문구,북아현동,2816,1660,1491,1104,209,37,8,-,2,-
서대문구,신촌동,10347,1527,778,555,125,38,9,4,3,4
서대문구,연희동,10113,3630,2446,1870,510,117,21,11,5,-
서대문구,연희동,10113,3630,2446,1870,510,117,21,11,5,-
마포구,용강동,3373,1954,1908,1589,345,74,21,5,2,-
마포구,대흥동,5222,1449,857,690,145,25,4,1,1,2
마포구,염리동,2705,1161,1015,867,152,23,10,2,-,1
마포구,신수동,3857,2243,1913,1622,323,74,18,7,2,1
마포구,서교동,9971,2620,1406,997,220,51,19,6,2,1
마포구,합정동,5231,2052,1226,804,174,39,12,3,1,2
마포구,망원1동,5050,2504,1422,1118,266,54,13,4,2,1
마포구,망원2동,3322,2093,1459,1285,266,54,14,1,1,-
마포구,연남동,5202,1717,972,643,189,33,11,4,2,1
마포구,성산1동,4361,2128,1426,1065,272,66,16,6,7,-
마포구,성산2동,8532,4014,3066,2615,558,123,19,10,1,1
마포구,상암동,4332,2516,2413,2503,656,110,25,10,2,3
마포구,도화동,3513,2042,1821,1491,350,79,19,3,2,2
마포구,서강동,5605,2274,1986,1628,340,61,16,7,-,1
마포구,공덕동,8697,3982,2878,2242,469,108,30,7,3,-
마포구,아현동,3167,2426,2489,1941,334,69,23,2,3,1
