gugun,dong,oneperson,twoperson,threeperson,fourperson,fiveperson,sixperson,sevenperson,eightperson,nineperson,tenperson
송파구,송파1동,6134,2679,1808,1317,326,84,17,5,1,2
송파구,송파2동,1767,1606,1754,1749,389,71,13,8,1,-
송파구,석촌동,8870,3631,2279,1675,341,90,15,5,4,-
송파구,삼전동,8487,3414,2232,1618,382,74,22,5,2,1
송파구,가락본동,4765,2618,2229,1791,450,85,27,2,1,1
송파구,가락1동,1663,2479,2562,2488,458,95,18,4,2,3
송파구,가락2동,3121,2624,2949,2968,544,123,26,5,2,-
송파구,문정1동,2878,1957,1658,1583,364,63,10,8,1,3
송파구,문정2동,8783,2784,1915,1649,335,97,25,8,-,2
송파구,잠실본동,8571,2967,2012,1394,306,74,16,7,1,1
송파구,잠실4동,1121,1491,2027,2116,417,77,17,7,3,-
송파구,잠실6동,963,1406,1561,1502,364,76,24,3,3,2
송파구,잠실7동,523,905,869,870,191,46,9,3,1,-
송파구,잠실2동,1705,1923,3109,4084,678,135,15,7,-,1
송파구,잠실3동,1818,2709,3240,3405,632,120,32,9,3,2
송파구,장지동,3526,2979,2711,2193,511,118,15,5,1,1
송파구,위례동,1368,1972,2614,3264,913,161,29,3,1,1
송파구,위례동,1368,1972,2614,3264,913,161,29,3,1,1
강동구,강일동,3649,3955,3302,3127,1035,193,39,2,4,1
강동구,상일동,2181,2868,3366,3774,738,122,25,9,3,4
강동구,명일1동,2498,2505,2420,2128,420,74,16,10,-,2
강동구,명일2동,1404,1196,1373,1786,351,61,25,10,1,1
강동구,고덕1동,1582,1576,2266,2631,481,101,19,11,-,1
강동구,고덕2동,2274,2152,2043,1895,329,56,21,3,1,2
강동구,암사2동,1905,1578,1422,1136,231,37,8,-,2,2
강동구,암사3동,1096,1426,1605,1669,382,76,21,10,3,4
강동구,천호1동,5428,3162,2226,1555,362,84,13,5,-,2
강동구,천호3동,7270,3016,1952,1303,295,72,17,4,-,-
강동구,성내1동,2548,2019,1828,1496,313,67,22,2,-,-
강동구,성내2동,6834,2814,1831,1079,253,51,19,9,-,1
강동구,성내3동,4254,2536,1859,1567,333,63,13,6,-,1
강동구,둔촌1동,56,8,8,7,2,-,-,-,-,-
강동구,둔촌2동,3587,2552,2137,1928,356,72,12,3,-,1
강동구,암사1동,6373,3749,2906,2326,451,91,25,9,2,-
강동구,천호2동,8690,4066,2522,1714,368,88,23,6,2,1
강동구,길동,9324,4901,3732,2800,665,149,43,8,6,-
