num,city,code,dongcode,gugun,dong,lat,lng
77,서울특별시,1111017700,11110,종로구,평동,37.5680134,126.966708
78,서울특별시,1111017800,11110,종로구,송월동,37.5697223,126.9651645
79,서울특별시,1111017900,11110,종로구,홍파동,37.5709038,126.9639262
80,서울특별시,1111018000,11110,종로구,교북동,37.5714471,126.961324
81,서울특별시,1111018100,11110,종로구,행촌동,37.5729372,126.9623776
82,서울특별시,1111018200,11110,종로구,구기동,37.6180692,126.9581885
83,서울특별시,1111018300,11110,종로구,평창동,37.6053351,126.9668582
84,서울특별시,1111018400,11110,종로구,부암동,37.5962608,126.9676991
85,서울특별시,1111018500,11110,종로구,홍지동,37.601247,126.9562041
86,서울특별시,1111018600,11110,종로구,신영동,37.60223480000001,126.9616183
87,서울특별시,1111018700,11110,종로구,무악동,37.5773553,126.9586242
88,서울특별시,1114010100,11140,중구,무교동,37.568084,126.9791516
89,서울특별시,1114010200,11140,중구,다동,37.5678759,126.9811398
90,서울특별시,1114010300,11140,중구,태평로1가,37.5679872,126.9771635
91,서울특별시,1114010400,11140,중구,을지로1가,37.5659887,126.9807672
92,서울특별시,1114010500,11140,중구,을지로2가,37.5658904,126.9850802
93,서울특별시,1114010600,11140,중구,남대문로1가,37.5675088,126.982792
94,서울특별시,1114010700,11140,중구,삼각동,37.5682052,126.9840007
95,서울특별시,1114010800,11140,중구,수하동,37.5673277,126.984633
96,서울특별시,1114010900,11140,중구,장교동,37.567328,126.9868194
97,서울특별시,1114011000,11140,중구,수표동,37.5674037,126.9895729
98,서울특별시,1114011100,11140,중구,소공동,37.5623685,126.9770254
99,서울특별시,1114011200,11140,중구,남창동,37.5578822,126.9772626
100,서울특별시,1114011300,11140,중구,북창동,37.5622798,126.9780753
101,서울특별시,1114011400,11140,중구,태평로2가,37.5630763,126.9765618
102,서울특별시,1114011500,11140,중구,남대문로2가,37.5638735,126.9820656
103,서울특별시,1114011600,11140,중구,남대문로3가,37.5619687,126.9803334
104,서울특별시,1114011700,11140,중구,남대문로4가,37.56027,126.9759784
105,서울특별시,1114011800,11140,중구,남대문로5가,37.5562032,126.9749646
106,서울특별시,1114011900,11140,중구,봉래동1가,37.5591119,126.9724911
107,서울특별시,1114012000,11140,중구,봉래동2가,37.5564965,126.9710206
108,서울특별시,1114012100,11140,중구,회현동1가,37.5566746,126.981124
109,서울특별시,1114012200,11140,중구,회현동2가,37.5589433,126.9829133
110,서울특별시,1114012300,11140,중구,회현동3가,37.560193,126.9840638
111,서울특별시,1114012400,11140,중구,충무로1가,37.5609432,126.9825464
112,서울특별시,1114012500,11140,중구,충무로2가,37.5615919,126.9877434
113,서울특별시,1114012600,11140,중구,명동1가,37.5642078,126.984637
114,서울특별시,1114012700,11140,중구,명동2가,37.5629038,126.9854869
