no,name,lng,lat,address
1155,갑을씨티텔앞,126.9635571,37.60432366,서울특별시 종로구 평창문화로 19
1156,평창파출소,126.9660716,37.6052849,서울특별시 종로구 평창문화로 43-1
1157,평창동주민센터,126.9695658,37.60660852,서울특별시 종로구 평창문화로 72-6
1158,일성아파트,126.9729382,37.60880117,서울특별시 종로구 평창문화로 119
1159,롯데아파트,126.9764904,37.61039233,서울특별시 종로구 평창문화로 154
1160,롯데아파트,126.9760875,37.61009411,서울특별시 종로구 평창문화로 152
1161,벽산평창힐스아파트,126.9727677,37.60827711,서울특별시 종로구 평창문화로 108
1162,예능교회,126.9700287,37.60662695,서울특별시 종로구 평창문화로 82
1163,서울예술고등학교.평창동주민센터,126.9675555,37.60587045,서울특별시 종로구 평창문화로 56
1164,화정박물관,126.964752,37.60459289,서울특별시 종로구 평창문화로 28
1165,강북삼성병원,126.9687255,37.5680684,서울특별시 중구 충정로1가 새문안로 28
1167,독립문역.서대문형무소역사관,126.9593699,37.57315143,서울특별시 종로구 통일로12길 2
1168,서대문.서울시교육청,126.964432,37.5681995,서울특별시 종로구 통일로 156-6
1169,서대문역사거리.적십자병원,126.968441,37.56778008,서울특별시 종로구 새문안로 27
1171,독립문,126.9614825,37.57111989,서울특별시 서대문구 통일로 197
1172,창덕궁.서울돈화문국악당,126.9886004,37.57742132,서울특별시 종로구 율곡로 84
1173,무교동,126.9802557,37.56914276,서울특별시 종로구 종로 26
1174,청계1가.광교,126.9849079,37.56860788,서울특별시 종로구 청계천로 65
1175,청계2가.수표교,126.990686,37.568322,서울특별시 종로구 청계천로 115
1176,청계4가.세운교,126.9964925,37.56885763,서울특별시 종로구 청계천로 169-2
1177,청계5가.광장시장,126.9998215,37.56937812,서울특별시 종로구 청계천로 199-1
1198,원남동,126.9973383,37.57453251,서울특별시 종로구 창경궁로 135-1
1199,창덕궁.우리소리박물관,126.987876,37.57729098,서울특별시 종로구 율곡로 82
1200,안국역.종로경찰서.인사동,126.9841842,37.57586565,서울특별시 종로구 율곡로 40-1
1201,조계사,126.98307,37.57236082,서울특별시 종로구 우정국로 38-1
1202,조계사,126.9828945,37.57248806,서울특별시 종로구 우정국로 39
1203,안국동,126.9827837,37.57461265,서울특별시 종로구 우정국로 63
1204,종로5가.효제동.김상옥의거터,127.0021112,37.57446367,서울특별시 종로구 대학로 36-3
1205,종로5가.효제초등학교,127.002028,37.57288183,서울특별시 종로구 대학로 20
1209,창덕궁.돈화문국악당,126.9910612,37.57747763,서울특별시 종로구 율곡로 108
1212,종로5가,127.0020675,37.57055607,서울특별시 종로구 종로5가 동호로 404-3
1213,청계6가.동대문시장,127.0028494,37.569752,서울특별시 종로구 종로5가 청계천로 227
1214,동대문,127.0085129,37.57178536,서울특별시 종로구 종로6가 율곡로 288
1215,충신동,127.006331,37.574106,서울특별시 종로구 율곡로 256-1
1217,충신동,127.0062426,37.57440236,서울특별시 종로구 율곡로 253
1218,현대그룹빌딩,127.0005179,37.5759191,서울특별시 종로구 율곡로 195
1219,방송통신대.이화장,127.0022982,37.57812399,서울특별시 종로구 대학로 79
1220,혜화역.마로니에공원,127.0021325,37.58110688,서울특별시 종로구 대학로 110-1
1221,혜화역.서울대병원입구,127.0019211,37.58106212,서울특별시 종로구 대학로 110-1
