no,name,routename,lat,lng,address,telno
252,중앙,수인선,37.316055,126.838532,경기도 안산시 단원구 중앙대로 918,1544-7788
253,고잔,수인선,37.316821,126.823094,경기도 안산시 상록구 충장로 337,1544-7788
254,초지,수인선,37.320583,126.806151,경기도 안산시 단원구 중앙대로 784,1544-7788
255,안산,수인선,37.327006,126.788748,경기도 안산시 단원구 중앙대로 620,1544-7788
256,신길온천,수인선,37.337488,126.767306,경기도 안산시 단원구 중앙대로 462,1544-7788
257,정왕,수인선,37.351816,126.742844,경기도 안산시 단원구 황고개로 2,1544-7788
258,오이도,수인선,37.361773,126.738437,경기도 시흥시 역전로 430,1544-7788
259,달월역,수인선,37.379993,126.745431,경기도 시흥시 서해안로 736번길 55(월곶동),1544-7788
260,월곶역,수인선,37.39189,126.742741,경기도 시흥시 월곶 중앙로 14번길,1544-7788
261,소래포구역,수인선,37.400963,126.733533,인천시 남동구 소래역로 51,1544-7788
262,인천논현역,수인선,37.400641,126.722495,인천시 남동구 청능대로 567,1544-7788
263,호구포역,수인선,37.401622,126.708682,인천시 남동구 호구포로 205,1544-7788
264,남동인더스파크역,수인선,37.407868,126.695613,인천광역시 남동구 고잔동 970-14,1544-7788
265,원인재역,수인선,37.412921,126.686952,인천시 연수구 벚꽃로 195,1544-7788
266,연수역,수인선,37.417769,126.678991,인천시 연수구 벚꽃로 115,1544-7788
267,송도역,수인선,37.417769,126.678991,인천시 연수구 비류대로 175(옥련동),1544-7788
269,인하대역,수인선,37.448191,126.649832,인천시 남구 용현동 294-3,1544-7788
270,숭의역,수인선,37.460891,126.638035,인천시 남구 인주대로 지하6,1544-7788
271,신포역,수인선,37.468442,126.624509,인천시 중구 사동 26-19,1544-7788
272,인천,수인선,37.476364,126.616936,인천시 중구 제물량로 269,1544-7788
419,한성대입구,서울 도시철도 4호선,37.58838493,127.0059994,서울특별시 성북구 삼선교로 지하1 (삼선동1가),02-6110-4191
420,혜화,서울 도시철도 4호선,37.58228892,127.0016857,서울특별시 종로구 대학로 지하 120 (동숭동),02-6110-4201
421,동대문,서울 도시철도 4호선,37.57089132,127.0101189,서울특별시 종로구 율곡로 308,02-6110-4211
422,동대문역사문화공원,서울 도시철도 4호선,37.56507829,127.0071679,서울특별시 중구 장충단로 지하 230 (광희동 2가),02-6110-4221
423,충무로,서울 도시철도 4호선,37.56120209,126.9943556,서울특별시 중구 퇴계로 지하 199 (필동2가),02-6110-4231
424,명동,서울 도시철도 4호선,37.56075073,126.9862482,서울특별시 중구 퇴계로 지하 126 (충무로2가),02-6110-4241
425,회현,서울 도시철도 4호선,37.55851662,126.9781303,서울특별시 중구 퇴계로 지하 54 (남창동),02-6110-4251
426,서울역,서울 도시철도 4호선,37.55356539,126.9724996,서울특별시 용산구 한강대로 지하 392(동자동),02-6110-4261
427,숙대입구,서울 도시철도 4호선,37.54467788,126.9719943,서울특별시 용산구 한강대로 지하 306,02-6110-4271
428,삼각지,서울 도시철도 4호선,37.53475857,126.9734308,서울특별시 용산구 한강대로 지하 180 (한강로1가),02-6110-4281
429,신용산,서울 도시철도 4호선,37.5292129,126.9677003,서울특별시 용산구 한강대로 지하 112 (한강로2가),02-6110-4291
430,이촌,서울 도시철도 4호선,37.52234094,126.9741382,서울특별시 용산구 용산동5가 17,02-6110-4301
431,동작,서울 도시철도 4호선,37.50300413,126.9790224,서울특별시 동작구 현충로 257 (동작동),02-6110-4311
432,총신대입구,서울 도시철도 4호선,37.48678247,126.981945,서울특별시 동작구 동작대로 지하 117 (사당동),02-6110-4321
433,사당,서울 도시철도 4호선,37.4767992,126.9814245,"서울특별시 동작구 동작대로 3(사당동,사당역(4호선))",02-6110-4331
434,남태령,서울 도시철도 4호선,37.46424858,126.9888363,서울특별시 서초구 과천대로 지하 816 (방배동),02-6110-4341
2511,방화,서울 도시철도 5호선,37.57729066,126.8127115,서울특별시 강서구 금낭화로 지하132 (방화동),02-6311-5101
2512,개화산,서울 도시철도 5호선,37.57231242,126.8062885,서울특별시 강서구 양천로 22(방화동),02-6311-5111
2513,김포공항,서울 도시철도 5호선,37.5622601,126.8014703,서울특별시 강서구 하늘길 지하77 (방화동),02-6311-5121
2514,송정,서울 도시철도 5호선,37.56115795,126.811792,서울특별시 강서구 공항대로 지하33 (공항동),02-6311-5131
2515,마곡,서울 도시철도 5호선,37.56025035,126.8248665,서울특별시 강서구 공항대로 지하163 (가양동),02-6311-5141
150,서울역,서울 도시철도 1호선,37.55575305,126.9724563,서울특별시 중구 세종대로 지하 2 (남대문로 5가),02-6110-1331
151,시청,서울 도시철도 1호선,37.56471664,126.9767513,서울특별시 중구 세종대로 지하 101 (정동),02-6110-1321
2516,발산,서울 도시철도 5호선,37.55848385,126.837456,서울특별시 강서구 공항대로 지하267 (가양동),02-6311-5151
2517,우장산,서울 도시철도 5호선,37.54886035,126.8363531,서울특별시 강서구 강서로 지하262 (화곡동),02-6311-5161
2518,화곡,서울 도시철도 5호선,37.54175707,126.8402952,서울특별시 강서구 화곡로 지하168 (화곡동),02-6311-5171
2519,까치산,서울 도시철도 5호선,37.53168373,126.8467432,서울특별시 강서구 강서로 지하54(화곡동),02-6311-5181
2520,신정,서울 도시철도 5호선,37.52501081,126.8562294,서울특별시 양천구 오목로 지하179 (신정동),02-6311-5191
2521,목동,서울 도시철도 5호선,37.52586671,126.8645757,서울특별시 양천구 오목로 지하245 (목동),02-6311-5201
2522,오목교,서울 도시철도 5호선,37.52436614,126.8750582,서울특별시 양천구 오목로 지하342 (목동),02-6311-5211
2523,양평,서울 도시철도 5호선,37.52558457,126.8862032,서울특별시 영등포구 양산로 지하21(양평동2가),02-6311-5221
2524,영등포구청,서울 도시철도 5호선,37.52524847,126.8958333,서울특별시 영등포구 당산로 지하 121 (당산동3가),02-6311-5231
2525,영등포시장,서울 도시철도 5호선,37.52274531,126.9047596,서울특별시 영등포구 양산로 지하200 (영등포동5가),02-6311-5241
2526,신길,서울 도시철도 5호선,37.51742655,126.916543,서울특별시 영등포구 경인로114가길 지하9 (영등포동1가),02-6311-5251
2527,여의도,서울 도시철도 5호선,37.52165166,126.9242291,서울특별시 영등포구 여의나루로 지하40 (여의도동),02-6311-5261
2528,여의나루,서울 도시철도 5호선,37.52707204,126.9328665,서울특별시 영등포구 여의동로 지하343 (여의도동),02-6311-5271
2529,마포,서울 도시철도 5호선,37.53956668,126.9457536,서울특별시 마포구 마포대로 지하33 (도화동),02-6311-5281
2530,공덕,서울 도시철도 5호선,37.54412449,126.9513584,서울특별시 마포구 마포대로 지하100(공덕동),02-6311-5291
2531,애오개,서울 도시철도 5호선,37.5535295,126.956632,서울특별시 마포구 마포대로 지하210 (아현동),02-6311-5301
2532,충정로,서울 도시철도 5호선,37.56022847,126.9636503,서울특별시 서대문구 충정로 28-1,02-6311-5311
2533,서대문,서울 도시철도 5호선,37.56573781,126.9665864,서울특별시 종로구 통일로 지하126 (평동),02-6311-5321
2534,광화문,서울 도시철도 5호선,37.5708165,126.9762129,서울특별시 종로구 세종대로 지하172 (세종로),02-6311-5331
2535,종로3가,서울 도시철도 5호선,37.57139366,126.9912115,서울특별시 종로구 종로 지하 129 (종로3가),02-6311-5341
2536,을지로4가,서울 도시철도 5호선,37.56702797,126.9979016,서울특별시 중구 을지로 지하 178 (을지로4가),02-6311-5351
2537,동대문역사문화공원,서울 도시철도 5호선,37.56507829,127.0071679,서울특별시 중구 을지로 지하 279 (을지로7가),02-6311-5361
2538,청구,서울 도시철도 5호선,37.56021257,127.0137698,서울특별시 중구 청구로 지하77(신당동),02-6311-5371
2539,신금호,서울 도시철도 5호선,37.55440938,127.0205515,서울특별시 성동구 금호로 지하154 (금호동2가),02-6311-5381
2540,행당,서울 도시철도 5호선,37.55754312,127.0296931,서울특별시 성동구 행당로 지하89 (행당동),02-6311-5391
2541,왕십리,서울 도시철도 5호선,37.56172516,127.0369076,서울특별시 성동구 왕십리로 지하300 (행당동),02-6311-5401
2542,마장,서울 도시철도 5호선,37.56620675,127.0429769,서울특별시 성동구 마장로 지하296 (마장동),02-6311-5411
2543,답십리,서울 도시철도 5호선,37.56690598,127.0524701,서울특별시 성동구 천호대로 지하300(용답동),02-6311-5421
2544,장한평,서울 도시철도 5호선,37.56153057,127.0642826,서울특별시 동대문구 천호대로 지하405 (장안동),02-6311-5431
2716,중계,서울 도시철도 7호선,37.64521691,127.0640831,서울특별시 노원구 동일로 지하1308-1 (중계동),02-6311-7141
2717,하계,서울 도시철도 7호선,37.63642687,127.0678149,서울특별시 노원구 동일로 지하1196(하계동),02-6311-7151
2718,공릉,서울 도시철도 7호선,37.62551321,127.0728236,서울특별시 노원구 동일로 지하1074,02-6311-7161
2755,춘의,서울 도시철도 7호선,37.50372821,126.7868467,경기도 부천시 길주로 지하 406,02-6311-7531
2719,태릉입구,서울 도시철도 7호선,37.61816533,127.0746937,서울특별시 노원구 동일로 지하992-1 (공릉동),02-6311-7171
2720,먹골,서울 도시철도 7호선,37.61073429,127.0775891,서울특별시 중랑구 동일로 지하901 (묵동),02-6311-7181
2721,중화,서울 도시철도 7호선,37.60251645,127.079253,서울특별시 중랑구 동일로 지하797 (중화동),02-6311-7191
2722,상봉,서울 도시철도 7호선,37.59608092,127.0853862,서울특별시 중랑구 망우로 지하 297,02-6311-7201
2723,면목,서울 도시철도 7호선,37.58852412,127.0874251,"서울특별시 중랑구 면목로 지하407(면목동,면목역)",02-6311-7211
2724,사가정,서울 도시철도 7호선,37.58101455,127.0884688,서울특별시 중랑구 사가정로 지하393 (면목동),02-6311-7221
2725,용마산,서울 도시철도 7호선,37.5736549,127.0865586,서울특별시 중랑구 용마산로 지하227(면목동),02-6311-7231
2726,중곡,서울 도시철도 7호선,37.56568111,127.0841504,서울특별시 광진구 능동로 지하417 (중곡동),02-6311-7241
2727,군자,서울 도시철도 7호선,37.55713392,127.079433,서울특별시 광진구 천호대로 지하550,02-6311-5441
2728,어린이대공원,서울 도시철도 7호선,37.54780394,127.0745637,서울특별시 광진구 능동로 지하210(화양동),02-6311-7261
2729,건대입구,서울 도시철도 7호선,37.54060889,127.0698628,서울특별시 광진구 능동로110(화양동6-3),02-6311-7271
2730,뚝섬유원지,서울 도시철도 7호선,37.53125616,127.0666673,서울특별시 광진구 능동로 10 (자양동),02-6311-7281
2731,청담,서울 도시철도 7호선,37.5195959,127.0537514,서울특별시 강남구 학동로 지하508 (청담동),02-6311-7291
2732,강남구청,서울 도시철도 7호선,37.51714842,127.0411628,서울특별시 강남구 학동로 지하346 (삼성동),02-6311-7301
2733,학동,서울 도시철도 7호선,37.51428621,127.0317362,서울특별시 강남구 학동로 지하180(논현동),02-6311-7311
2734,논현,서울 도시철도 7호선,37.51118691,127.0212831,서울특별시 강남구 학동로 지하102(논현동),02-6311-7321
2735,반포,서울 도시철도 7호선,37.50820769,127.011532,서울특별시 서초구 신반포로 지하241(잠원동),02-6311-7331
2736,고속터미널,서울 도시철도 7호선,37.50436623,127.0045403,서울특별시 서초구 신반포로 지하 188 (반포동),02-6311-7341
2737,내방,서울 도시철도 7호선,37.4875118,126.9932223,서울특별시 서초구 서초대로 지하103 (방배동),02-6311-7351
2738,이수,서울 도시철도 7호선,37.48658247,126.981745,서울특별시 동작구 사당로 지하310 (사당동),02-6311-7361
2739,남성,서울 도시철도 7호선,37.48453469,126.9712351,서울특별시 동작구 사당로 지하218 (사당동),02-6311-7371
